dataset,mode,selectivity,seed,query_id,D_target,true_card,est,q_error
DEEP,bernoulli,0.01,0.1,0,1.0494146347045898,787904,831168.8311688312,1.054911297783526
DEEP,bernoulli,0.01,0.1,1,1.1743544340133667,822154,207792.2077922078,3.9566161249999996
DEEP,bernoulli,0.01,0.1,2,0.929911196231842,782321,623376.6233766234,1.2549732708333334
DEEP,bernoulli,0.01,0.1,3,1.1116076707839966,839373,415584.4155844156,2.01974128125
DEEP,bernoulli,0.01,0.1,4,0.960600733757019,786856,831168.8311688312,1.056316316033469
DEEP,bernoulli,0.01,0.1,5,1.1436657905578613,810186,1038961.038961039,1.282373478387727
DEEP,bernoulli,0.01,0.1,6,0.901870608329773,791280,1246753.2467532468,1.5756157703382454
DEEP,bernoulli,0.01,0.1,7,1.1188875436782837,798937,207792.2077922078,3.8448843124999996
DEEP,bernoulli,0.01,0.1,8,1.0355769395828247,813202,623376.6233766234,1.3045115416666666
DEEP,bernoulli,0.01,0.1,9,1.0558167695999146,838646,623376.6233766234,1.3453279583333333
DEEP,bernoulli,0.01,0.1,10,0.9952056407928467,796178,1038961.038961039,1.3049356286672567
DEEP,bernoulli,0.01,0.1,11,0.7633945345878601,791044,623376.6233766234,1.2689664166666668
DEEP,bernoulli,0.01,0.1,12,0.876768171787262,782731,1454545.4545454546,1.8582954483027434
DEEP,bernoulli,0.01,0.1,13,0.7345972061157227,792616,623376.6233766234,1.2714881666666666
DEEP,bernoulli,0.01,0.1,14,1.061136245727539,788490,415584.4155844156,1.8973040625
DEEP,bernoulli,0.01,0.1,15,1.1323901414871216,822847,623376.6233766234,1.3199837291666667
DEEP,bernoulli,0.01,0.1,16,0.9538190960884094,817423,831168.8311688312,1.0168160562754305
DEEP,bernoulli,0.01,0.1,17,1.0373276472091675,788749,831168.8311688312,1.0537811536608366
DEEP,bernoulli,0.01,0.1,18,0.9355025887489319,831888,1454545.4545454546,1.7484871215181066
DEEP,bernoulli,0.01,0.1,19,1.1154453754425049,824224,207792.2077922078,3.9665779999999997
DEEP,bernoulli,0.01,0.1,20,1.1202095746994019,783367,1038961.038961039,1.3262762395672003
DEEP,bernoulli,0.01,0.1,21,1.009710431098938,790772,623376.6233766234,1.2685300833333333
DEEP,bernoulli,0.01,0.1,22,0.9100181460380554,837366,623376.6233766234,1.343274625
DEEP,bernoulli,0.01,0.1,23,1.0361720323562622,794371,2493506.4935064935,3.1389696923811337
DEEP,bernoulli,0.01,0.1,24,1.1383733749389648,807147,623376.6233766234,1.2947983125
DEEP,bernoulli,0.01,0.1,25,0.7721071243286133,792429,831168.8311688312,1.0488874475427215
DEEP,bernoulli,0.01,0.1,26,1.1888949871063232,768789,1038961.038961039,1.3514254742992409
