cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
partsupp_deep_wiki_1,MB_partial,0.1,500,4.5214333098844115,2.7249858874658064,198,0.396,3.667973067408819e-11,True,False
partsupp_deep_wiki_1,MB_partial,0.3,500,1.0013327157132952,0.3683954960972672,235,0.47,0.027875435699632578,True,False
partsupp_deep_wiki_1,MB_partial,0.5,500,0.43894214399412107,0.06406571005804516,246,0.492,0.24978420848578153,False,False
partsupp_deep_wiki_1,Hilbert,all,2488,9.373045875523303,1.2788915574487545,1058,0.4252411575562701,3.0970708867047416e-31,True,False
partsupp_deep_wiki_1,Hilbert,0.01,488,35.87782850162458,17.875438905089105,151,0.3094262295081967,1.059017290493892e-30,True,False
partsupp_deep_wiki_1,Hilbert,0.05,500,7.534756010725314,3.773588768943717,192,0.384,4.273556687282244e-12,True,False
partsupp_deep_wiki_1,Hilbert,0.1,500,3.654107099529851,1.665495654686406,212,0.424,9.425009424071916e-07,True,False
partsupp_deep_wiki_1,Hilbert,0.3,500,0.46596607793576783,0.12641549777105027,241,0.482,0.42727965302300985,False,False
partsupp_deep_wiki_1,Hilbert,0.5,500,-0.03131352917258008,-0.16459288934707306,262,0.524,0.3774276421214724,False,True
partsupp_deep_wiki_1,sparse_rp,all,2490,11.53139179416884,2.27279179143709,947,0.38032128514056224,1.2080308482240251e-58,True,False
partsupp_deep_wiki_1,sparse_rp,0.01,490,42.763755741036235,23.74446188126894,125,0.25510204081632654,2.2038295488126958e-40,True,False
partsupp_deep_wiki_1,sparse_rp,0.05,500,9.614279390931173,5.084330438482751,174,0.348,1.0781481089173422e-19,True,False
partsupp_deep_wiki_1,sparse_rp,0.1,500,4.279624560387014,2.3183080637359046,193,0.386,6.432564990045253e-10,True,False
partsupp_deep_wiki_1,sparse_rp,0.3,500,1.2398815185044239,0.7750087034632267,211,0.422,8.81770505040005e-05,True,False
partsupp_deep_wiki_1,sparse_rp,0.5,500,0.38406503892270616,0.10635102026056156,244,0.488,0.3214191716113669,False,False
multi_join_deep_wiki_1,HDBSCAN,all,2493,11.953546890405232,2.039138559516543,967,0.3878860810268753,3.8632173270199815e-54,True,False
multi_join_deep_wiki_1,HDBSCAN,0.01,493,44.209745638483135,19.53098057475801,129,0.2616632860040568,6.942334339995669e-38,True,False
multi_join_deep_wiki_1,HDBSCAN,0.05,500,9.849311872871178,5.739434142092244,168,0.336,1.4402099566729408e-20,True,False
